Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
566,11.355,1.929,25.115
567,11.374,1.821,24.125
568,11.387,1.375,19.928
569,11.405,1.729,23.302
570,11.428,2.334,29.09
571,11.442,1.432,20.535
572,11.462,2.009,26.06
573,11.485,2.235,28.258
574,11.507,2.189,27.869
575,11.523,1.629,22.53
576,11.548,2.486,30.803
577,11.571,2.296,29.025
578,11.585,1.412,20.536
579,11.6,1.475,21.168
580,11.618,1.841,24.726
581,11.636,1.807,24.431
582,11.658,2.213,28.399
583,11.678,1.979,26.168
584,11.701,2.246,28.804
585,11.724,2.35,29.869
586,11.746,2.172,28.172
587,11.763,1.702,23.614
588,11.786,2.359,30.086
589,11.803,1.636,23.032
590,11.817,1.41,20.831
591,11.833,1.653,23.241
592,11.857,2.314,29.796
593,11.882,2.57,32.38
594,11.906,2.416,30.906
595,11.93,2.398,30.781
596,11.95,1.958,26.452
597,11.971,2.113,28.039
598,11.984,1.333,20.29
599,11.998,1.381,20.79
600,12.02,2.14,28.395
601,12.035,1.515,22.176
602,12.054,1.9,26.06
603,12.08,2.593,33.065
604,12.098,1.845,25.587
605,12.119,2.045,27.635
606,12.135,1.621,23.395
607,12.154,1.955,26.794
608,12.168,1.379,20.992
609,12.192,2.386,31.231
610,12.218,2.593,33.392
611,12.241,2.337,30.839
612,12.26,1.89,26.327
613,12.283,2.277,30.318
614,12.298,1.505,22.461
615,12.322,2.424,31.903
616,12.344,2.175,29.4
617,12.359,1.532,22.821
618,12.376,1.67,24.267
619,12.399,2.279,30.582
620,12.418,1.916,26.871
621,12.437,1.932,27.073
622,12.451,1.413,21.731
623,12.472,2.021,28.059
624,12.492,2.07,28.607
625,12.512,1.983,27.74
626,12.531,1.874,26.644
627,12.554,2.322,31.355
628,12.575,2.046,28.518
629,12.59,1.567,23.531
630,12.61,1.944,27.515
631,12.631,2.138,29.59
632,12.65,1.941,27.56
633,12.667,1.646,24.482
634,12.689,2.164,29.979
635,12.707,1.844,26.638
636,12.731,2.409,32.664
637,12.748,1.689,25.062
638,12.765,1.724,25.467
639,12.79,2.444,33.163
640,12.806,1.592,24.131
641,12.829,2.323,31.965
642,12.85,2.151,30.164
643,12.867,1.666,25.016
644,12.893,2.593,34.991
645,12.909,1.61,24.485
646,12.935,2.556,34.696
647,12.949,1.46,22.929
648,12.964,1.457,22.914
649,12.982,1.837,27.05
650,12.998,1.562,24.097
651,13.012,1.463,23.058
652,13.032,1.922,28.057
653,13.053,2.13,30.348
654,13.07,1.703,25.75
655,13.096,2.58,35.336
656,13.115,1.973,28.765
657,13.137,2.166,30.913
658,13.162,2.534,34.988
659,13.182,1.947,28.602
660,13.207,2.5,34.729
661,13.232,2.462,34.36
662,13.255,2.367,33.375
663,13.276,2.087,30.324
664,13.29,1.382,22.561
665,13.304,1.404,22.826
666,13.317,1.307,21.768
667,13.338,2.05,30.039
668,13.352,1.403,22.879
669,13.367,1.516,24.164
670,13.387,2.035,29.964
671,13.41,2.27,32.634
672,13.433,2.277,32.764
673,13.45,1.765,27.068
674,13.468,1.766,27.117
675,13.486,1.795,27.464
676,13.508,2.238,32.484
677,13.533,2.494,35.417
678,13.558,2.477,35.279
679,13.577,1.915,28.985
680,13.596,1.929,29.179
681,13.619,2.229,32.614
682,13.632,1.383,23.063
683,13.649,1.633,25.914
684,13.667,1.839,28.289
685,13.691,2.407,34.798
686,13.716,2.511,36.045
687,13.738,2.169,32.191
688,13.752,1.386,23.263
689,13.769,1.71,26.993
690,13.789,2.033,30.739
691,13.809,1.992,30.296
692,13.825,1.571,25.492
693,13.851,2.598,37.363
694,13.864,1.352,23.033
695,13.889,2.414,35.332
696,13.909,2.05,31.163
697,13.928,1.935,29.877
698,13.945,1.631,26.374
699,13.961,1.648,26.607
700,13.98,1.922,29.816
701,14.004,2.343,34.766
702,14.03,2.583,37.623
703,14.045,1.577,25.911
704,14.068,2.235,33.641
705,14.093,2.513,36.958
706,14.118,2.471,36.526
707,14.132,1.456,24.63
708,14.155,2.244,33.933
709,14.172,1.757,28.243
710,14.189,1.674,27.294
711,14.215,2.553,37.716
712,14.235,2.087,32.259
713,14.251,1.531,25.703
714,14.265,1.456,24.827
715,14.285,1.985,31.142
716,14.308,2.31,35.061
717,14.328,1.981,31.175
718,14.351,2.329,35.374
719,14.366,1.467,25.11
720,14.382,1.578,26.462
721,14.399,1.73,28.311
722,14.425,2.589,38.655
723,14.443,1.8,29.235
724,14.466,2.282,35.068
725,14.488,2.262,34.882
726,14.511,2.238,34.639
727,14.53,1.886,30.429
728,14.543,1.332,23.759
