Time (s),Predicted Fuel
16986.0,4.953766844574603e-06
16987.0,7.104910634957918e-06
16988.0,5.4239281130625835e-06
16989.0,7.104445320897368e-06
16990.0,4.222143385888337e-06
16991.0,4.632791211704376e-06
16992.0,5.214313640491925e-06
16993.0,6.977225654081956e-06
16994.0,6.3959766301402835e-06
16995.0,5.076554073803554e-06
16996.0,7.102120653484978e-06
16997.0,3.826206793823473e-06
16998.0,7.101346468160456e-06
16999.0,7.101346468160456e-06
17000.0,5.591785332539856e-06
17001.0,5.085200821041695e-06
17002.0,1.456335203753129e-06
17003.0,7.099180617614357e-06
17004.0,4.8052434179251036e-06
17005.0,4.734079058263324e-06
17006.0,7.098098723260091e-06
17007.0,7.098098723260091e-06
17008.0,3.267868643429614e-06
17009.0,5.5686621035484445e-06
17010.0,7.096863112681418e-06
17011.0,4.881378690791704e-06
17012.0,6.303028598743188e-06
17013.0,7.096091310587046e-06
17014.0,2.269419953295823e-06
17015.0,6.754484070141932e-06
17016.0,7.094857153550945e-06
17017.0,4.760143669825378e-06
17018.0,7.094394574907037e-06
17019.0,7.094394574907037e-06
17020.0,7.094394574907037e-06
17021.0,3.7302742707637177e-06
17022.0,5.7607710297482696e-06
17023.0,6.355027280789793e-06
17024.0,1.8811328616134718e-06
17025.0,6.6743700425336015e-06
17026.0,7.091775664163491e-06
17027.0,4.030693733495355e-06
17028.0,6.172378690886409e-06
17029.0,7.038727806104483e-06
17030.0,7.090852302451277e-06
17031.0,1.4713886818537725e-06
17032.0,5.418889199089688e-06
17033.0,1.2058412208091454e-05
17034.0,5.3791380457441326e-06
17035.0,5.528929880084291e-06
17036.0,6.38053024348287e-06
17037.0,3.7563074348725044e-07
17038.0,9.148543374405493e-06
17039.0,2.8041213989208886e-06
17040.0,3.331593281180395e-06
17041.0,9.793174536103961e-06
17042.0,5.693310847900164e-06
17043.0,6.464277541873466e-06
17044.0,7.579303883013638e-06
17045.0,2.1272243103478676e-06
17046.0,2.905671466880522e-06
17047.0,9.474396632942442e-06
17048.0,3.5454202307728196e-06
17049.0,9.70641880727554e-06
17050.0,6.457327440072245e-06
17051.0,5.959684895825757e-06
17052.0,1.051792059445561e-06
17053.0,4.51711507782523e-06
17054.0,7.585656486655918e-06
17055.0,4.962026828631448e-06
17056.0,1.1653048701630389e-05
17057.0,3.455278613377722e-06
17058.0,4.15196201968172e-06
17059.0,8.668285231040322e-06
17060.0,8.798728540089956e-06
17061.0,3.162095413378095e-06
17062.0,7.713106603949157e-06
17063.0,1.742174306167675e-06
17064.0,8.31650024195349e-06
17065.0,1.964964516394337e-06
17066.0,5.088833503260173e-06
17067.0,1.3461926167482327e-05
17068.0,1.2172956834947791e-06
17069.0,7.213800573152245e-06
17070.0,5.993686249208195e-06
17071.0,2.0255325641855306e-06
17072.0,9.196809678244752e-06
17073.0,4.7000916791934065e-06
17074.0,5.456145007767763e-06
17075.0,1.2266218733191408e-05
17076.0,5.417238470374508e-07
17077.0,8.416817099901114e-06
17078.0,9.060349819288198e-06
17079.0,5.994101680136462e-06
17080.0,6.115885949817381e-06
17081.0,4.925681003856273e-06
17082.0,1.4825554204615354e-06
17083.0,7.951968636742581e-06
17084.0,2.8374852778419776e-06
17085.0,7.285152776652779e-06
17086.0,9.512477273023027e-06
17087.0,3.208277764561971e-06
17088.0,5.057796891834785e-06
17089.0,1.376372427749514e-05
17090.0,-1.8839437502436805e-06
17091.0,1.1626971674743967e-05
17092.0,1.6228598111219253e-06
17093.0,1.0793108472366477e-05
17094.0,2.27283286281243e-06
17095.0,4.315981801000214e-06
17096.0,7.804845704560288e-06
17097.0,4.272927739224021e-06
17098.0,7.3833975933478014e-06
17099.0,8.90734643392173e-06
17100.0,1.8567518251048737e-06
17101.0,6.485568001980786e-06
17102.0,4.955172981861104e-06
17103.0,8.335679717691551e-06
17104.0,9.470781344332224e-06
17105.0,4.757610035283949e-06
17106.0,6.650709304662827e-06
17107.0,2.9158732480107885e-06
17108.0,1.0601058646130992e-05
17109.0,3.6253353386121697e-06
17110.0,9.74721716402738e-06
17111.0,5.374588095199825e-06
17112.0,1.4724132270768038e-06
17113.0,1.2354066720065303e-05
17114.0,3.937105894223228e-06
17115.0,7.119449597559604e-06
17116.0,2.5435095495762565e-06
17117.0,1.0426962769151491e-05
17118.0,4.712775828151211e-07
17119.0,9.596644268379216e-06
17120.0,5.080115430887312e-06
17121.0,1.0976442829243047e-05
17122.0,1.381282882326295e-06
17123.0,8.682018939135234e-06
17124.0,1.0916548800922223e-06
17125.0,1.0294942223143232e-05
17126.0,1.5792006241965769e-06
17127.0,1.2127331304873648e-05
17128.0,9.764732602455863e-08
17129.0,1.1336146148304573e-05
17130.0,5.152339445192652e-06
17131.0,5.247344334916719e-06
17132.0,3.2716035913512965e-06
17133.0,1.092639919357668e-05
17134.0,4.1019582170550785e-06
17135.0,6.6223065065495175e-06
17136.0,4.7454333573829225e-06
17137.0,8.608974717817433e-06
17138.0,5.771672996806359e-06
17139.0,5.438375736084572e-06
17140.0,5.099230553504151e-06
17141.0,8.265968778017576e-06
17142.0,6.741458075370775e-06
17143.0,1.0338257490238798e-05
17144.0,5.885107057106078e-06
17145.0,1.1273003197992423e-06
17146.0,6.87288385581137e-06
17147.0,4.655515945632282e-06
17148.0,5.352637859303384e-06
17149.0,6.978985587451353e-06
17150.0,8.072816871520592e-06
17151.0,1.108101753991759e-05
17152.0,2.6309451087364674e-06
17153.0,9.723585175090376e-06
17154.0,2.5202617548249332e-06
17155.0,5.090364585226638e-06
17156.0,7.323549513503384e-06
17157.0,4.514766063463377e-06
17158.0,1.3608754309987984e-05
17159.0,1.1479625581641168e-06
17160.0,1.1109771389430718e-05
17161.0,-9.602853212299165e-07
17162.0,7.014538073189751e-06
17163.0,1.2748831677387466e-05
17164.0,-1.4531867955401349e-06
17165.0,7.170478867639515e-06
17166.0,1.0842210151019605e-05
17167.0,2.0523945555474847e-06
17168.0,1.2672349445513251e-05
17169.0,4.948656403859436e-06
17170.0,6.137730330648897e-06
17171.0,8.117520378387347e-06
17172.0,7.655392245549496e-07
17173.0,6.219170335500836e-06
17174.0,1.1678044715789232e-05
17175.0,5.556381474667057e-06
17176.0,7.101134631960026e-06
17177.0,5.969116744528343e-06
17178.0,-5.7080439707405624e-08
17179.0,6.911827975077885e-06
17180.0,1.3296815154649778e-05
17181.0,-3.466456630959363e-07
17182.0,1.2860053684021969e-05
17183.0,3.451186687032583e-06
17184.0,8.005345922492767e-06
17185.0,6.044521151367397e-06
17186.0,8.737061976358503e-06
17187.0,3.564838646613697e-06
17188.0,5.284471400048806e-06
17189.0,9.084575777413698e-06
17190.0,6.312782391701542e-06
17191.0,5.938763472177527e-06
17192.0,5.241436492202029e-06
17193.0,6.001331770654412e-06
17194.0,5.8271491322494025e-06
17195.0,2.772445517460861e-06
17196.0,5.921019958491485e-06
17197.0,9.076581257096748e-06
17198.0,7.059189844834293e-06
17199.0,8.086602231748454e-06
17200.0,3.189918321346248e-06
17201.0,1.0517219665420352e-05
17202.0,2.261374622235837e-06
17203.0,7.201067626270507e-06
17204.0,1.0471968800600754e-05
17205.0,5.610428478328031e-06
17206.0,3.3043625263581004e-06
17207.0,1.2837747447886954e-05
17208.0,3.7610900131366437e-06
17209.0,6.3808913443042484e-06
17210.0,2.44614379347076e-06
17211.0,1.2356314666690736e-05
17212.0,6.436799430175991e-06
17213.0,6.548621319888279e-06
17214.0,2.7865592816428456e-06
17215.0,9.587474987771186e-06
